timestamp,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2025-12-03 07:00:00+02:00,13.318544,1654.6082,311.66823,67.757,0.0,240.979236,168.1712,1713.9672,37.832705,2.875,100.687227
2025-12-03 08:00:00+02:00,13.377792,1867.00404,308.210205,64.1893,0.0,295.992892,367.33939,1719.1656,335.720949,3.511,90.71659
2025-12-03 09:00:00+02:00,13.115328,1923.98476,307.3208,65.6638,0.0,304.396111,366.90095,1729.2888,684.723873,3.653,103.302807
2025-12-03 10:00:00+02:00,13.106,1966.73776,308.14444,47.0001,0.0,288.88889,200.54228,1739.412,890.114906,3.254,114.732693
2025-12-03 11:00:00+02:00,13.738336,2028.36916,306.193285,52.8416,0.0,214.586994,8.806,1746.5256,935.880337,2.114,117.519039
2025-12-03 12:00:00+02:00,13.236992,1991.99918,307.910885,52.7412,0.0,194.942969,8.70308,1754.7336,999.803685,2.138,92.287978
2025-12-03 13:00:00+02:00,13.327248,1965.57741,306.75239,51.9824,0.0,198.340995,8.72492,1765.8144,822.085872,2.268,74.323814
2025-12-03 14:00:00+02:00,13.57696,2024.8829,308.497815,57.0438,0.0,197.629215,8.71895,1793.7216,667.021423,2.39,73.603559
2025-12-03 15:00:00+02:00,12.480336,2024.02034,309.13699,67.3919,0.0,268.678782,78.80746,1806.8544,393.535886,2.539,49.389426
2025-12-03 16:00:00+02:00,13.698576,2048.47772,310.0082,68.6602,0.0,299.92048,286.71889,1820.808,346.072503,3.3,53.131369
2025-12-03 17:00:00+02:00,13.268976,2038.98517,307.4624,72.5023,0.0,308.45526,518.53333,1830.5208,533.067192,3.311,101.874544
2025-12-03 18:00:00+02:00,13.187808,2036.47905,307.585565,74.2884,187.11,306.984575,622.02604,1840.644,385.255658,3.314,115.986469
2025-12-03 19:00:00+02:00,13.455616,2030.62119,307.772685,74.5131,188.1,301.157267,643.89028,1853.3664,229.219442,3.449,110.818768
2025-12-03 20:00:00+02:00,13.777056,2036.56418,308.478045,74.385,114.84,296.372468,616.3149,1861.4376,42.566723,3.399,102.982918
2025-12-03 21:00:00+02:00,13.50528,1948.06145,307.94218,74.2369,0.0,270.072267,278.64972,1869.7824,19.433818,3.375,104.75485
2025-12-03 22:00:00+02:00,13.413696,1802.49453,306.608545,74.2664,0.0,201.998362,145.26405,1880.7264,0.704028,3.436,117.877161
2025-12-03 23:00:00+02:00,13.566512,1705.04052,306.4234,74.3654,0.0,190.856971,8.77175,1889.7552,0.690584,3.547,103.716488
2025-12-04 00:00:00+02:00,13.80376,1533.08915,308.6098,74.3872,0.0,213.668442,8.64801,1898.3736,0.105395,3.679,97.580488
2025-12-04 01:00:00+02:00,12.842496,1528.57958,309.80865,68.5142,0.0,208.201653,8.64702,1920.672,0.082179,3.328,85.643296
2025-12-04 02:00:00+02:00,12.644176,1526.1803,309.16635,68.5727,0.0,207.762083,8.68365,1928.0592,0.146015,3.341,89.400672
2025-12-04 03:00:00+02:00,12.971488,1525.23607,309.437145,68.4626,0.0,207.16046,7.99802,1938.3192,0.070359,3.275,73.579304
2025-12-04 04:00:00+02:00,12.968112,1524.11583,309.436145,68.2624,0.0,206.184151,8.68761,1945.8432,0.052915,3.258,63.452763
2025-12-04 05:00:00+02:00,12.991008,1515.30137,309.77799,68.5599,0.0,207.993357,8.68861,1946.3904,0.08805,3.268,56.03193
2025-12-04 06:00:00+02:00,13.602,1529.89141,310.950835,68.4905,0.0,210.666802,8.65098,1947.7584,2.844309,3.267,59.026473
2025-12-04 07:00:00+02:00,13.102192,1718.13442,310.977475,68.5405,0.0,240.51553,9.28755,1945.98,15.203362,3.373,81.571842
2025-12-04 08:00:00+02:00,12.205072,1928.60658,310.5373,68.4177,0.0,301.369523,266.20938,1946.3904,311.477418,3.709,96.157551
2025-12-04 09:00:00+02:00,13.108256,2008.19259,310.65271,68.6233,0.0,306.290516,280.22975,1950.6312,711.066503,2.895,101.704412
2025-12-04 10:00:00+02:00,12.567264,2002.45048,310.999425,72.3463,0.0,279.151903,271.87514,1952.4096,902.732966,2.899,123.092362
2025-12-04 11:00:00+02:00,12.83528,1977.26052,307.895325,67.9663,0.0,211.185433,88.12823,1951.0416,1084.299103,2.67,145.656304
2025-12-04 12:00:00+02:00,13.50512,1944.94868,307.99342,67.5693,0.0,197.152332,8.7134,1951.0416,1100.921218,2.799,127.438007
2025-12-04 13:00:00+02:00,13.448976,1896.16364,306.41427,67.9421,0.0,200.940141,8.7035,1951.1784,982.466018,3.237,122.078592
2025-12-04 14:00:00+02:00,13.183232,1894.96367,307.97277,67.6237,0.0,239.581326,8.65597,1950.9048,681.079789,3.237,107.919137
2025-12-04 15:00:00+02:00,12.671872,1884.33413,308.342165,67.395,0.0,261.098422,8.75794,1949.9472,361.001192,3.727,100.393058
2025-12-04 16:00:00+02:00,13.821968,1989.71516,308.942455,68.1221,0.0,296.088596,88.48066,1951.3152,461.862491,4.054,115.294627
2025-12-04 17:00:00+02:00,13.941024,1815.07682,309.67629,68.392,0.0,305.452926,305.77876,1950.6312,409.424716,4.166,123.373859
2025-12-04 18:00:00+02:00,14.091952,1679.13784,309.972735,68.6202,0.0,301.13224,614.87262,1951.452,296.472201,3.981,169.660972
2025-12-04 19:00:00+02:00,13.740352,1691.27716,311.175085,68.5781,0.0,303.159324,572.296114,1951.9992,67.505724,3.766,201.707658
2025-12-04 20:00:00+02:00,13.814192,1734.30683,312.05605,68.4514,0.0,297.34847,488.637155,1951.452,22.208828,3.935,228.012077
2025-12-04 21:00:00+02:00,12.40912,1471.08822,310.709345,68.5884,0.0,249.792424,232.649391,1952.4096,14.792797,3.677,234.972569
2025-12-04 22:00:00+02:00,12.459456,1370.08801,307.369195,68.4332,0.0,212.304222,158.701628,1951.0416,3.859821,3.595,263.938653
2025-12-04 23:00:00+02:00,12.428064,1435.89707,307.55384,68.5631,0.0,199.895305,18.161416,1950.3576,0.45045,3.582,260.513421
2025-12-05 00:00:00+02:00,14.180176,1367.7728,306.634025,68.183,0.0,205.928514,8.65409,1950.9048,9.64351,3.569,259.714491
2025-12-05 01:00:00+02:00,12.87936,1317.24141,306.23198,68.6084,0.0,204.482708,8.65013,1949.5368,0.241866,3.546,241.576028
2025-12-05 02:00:00+02:00,12.963264,1315.58223,306.27539,68.4111,0.0,200.814886,8.70062,1950.2208,0.278546,3.231,228.016938
2025-12-05 03:00:00+02:00,13.161968,1313.37497,306.970835,68.2711,0.0,200.798967,8.65509,1949.9472,0.035115,2.868,271.268652
2025-12-05 04:00:00+02:00,13.375904,1311.20454,308.99668,68.4695,0.0,205.940443,8.69864,1950.768,1.35729,2.685,304.636038
2025-12-05 05:00:00+02:00,13.309456,1309.48978,309.164475,68.6458,0.0,207.138185,8.70062,1950.084,2.772168,2.782,333.539375
