created_doc_time,avail_qty,biddingzone_domain,businesstype,curvetype,docstatus,end,mrid,nominal_power,plant_type,production_resource_id,production_resource_location,production_resource_name,production_resource_psr_name,pstn,qty_uom,resolution,revision,start
2026-02-28 21:51:50+02:00,0,BG,Planned maintenance,A03,,2026-04-26 23:59:00+03:00,uFzUZA58qnv3kV2vMjxhig,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G3,1,MAW,PT1M,1,2026-03-02 00:00:00+02:00
2026-02-28 22:06:56+02:00,0,BG,Planned maintenance,A03,,2026-08-30 23:59:00+03:00,u07juCb5RNCTdsYKhRqolQ,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G4,1,MAW,PT1M,1,2026-03-02 00:00:00+02:00
2026-03-05 10:07:13+02:00,0,BG,Planned maintenance,A03,,2026-03-05 09:59:00+02:00,E1-KtzLzJSExG536C_E7Lg,1040.0,Nuclear,32W001100100217D,Kozloduy,NPP_KOZLODUY,NPP KZL G10,1,MAW,PT1M,48,2026-03-03 06:19:00+02:00
2026-03-07 09:24:12+02:00,0,BG,Unplanned outage,A03,,2026-03-05 14:52:00+02:00,7OOVrKG58pEbDxlgv09YhA,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G3,1,MAW,PT1M,2,2026-03-05 04:29:00+02:00
2026-03-08 23:51:50+02:00,77.88,BG,Planned maintenance,A03,,2026-03-08 23:52:00+02:00,pCOHLbMN3FRzLQSu-1sZmg,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G1,1,MAW,PT1M,3,2026-02-24 22:00:00+02:00
2026-03-13 01:48:50+02:00,0,BG,Unplanned outage,A03,,2026-03-13 00:53:00+02:00,IdshOwEe3s0mfX-D3gwnUw,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G1,1,MAW,PT1M,2,2026-03-12 21:16:00+02:00
2026-03-14 16:23:11+02:00,227,BG,Planned maintenance,A03,,2026-03-14 16:22:00+02:00,GxjDo5VgbLhLswpCnyku0w,230.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G5,1,MAW,PT1M,2,2026-02-28 23:15:00+02:00
2026-03-14 22:31:29+02:00,0,BG,Unplanned outage,A03,,2026-03-31 23:59:00+03:00,loOyYy1s5bxEOvTr8XX_VA,177.0,Fossil Brown coal/Lignite,32W001100100153D,Stara zagora,TPP_MI_2,TPP_MI2_G1,1,MAW,PT1M,2,2026-03-13 11:43:00+02:00
2026-03-18 12:52:02+02:00,998.4,BG,Planned maintenance,A03,,2026-03-18 23:59:00+02:00,UyzlIgnC5tWpaMU4xIO1_w,1040.0,Nuclear,32W001100100217D,Kozloduy,NPP_KOZLODUY,NPP KZL G10,1,MAW,PT1M,9,2026-03-18 13:01:00+02:00
2026-04-04 13:03:00+03:00,0,BG,Unplanned outage,A03,,2026-04-05 18:00:00+03:00,8WGUQL44zR4o30Ht18iWXQ,190.0,Fossil Brown coal/Lignite,32W001100100218B,Bobov dol,TEC_BOBOVDOL_EAD,TPP_BOBOV_DOL_G2,1,MAW,PT1M,2,2026-04-02 22:33:00+03:00
